,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,TradingDays,TradeNumber,CumulativePnL,PeakPnL,Drawdown,ExitReason,ProfitTargetPrice,StopLossPrice,DaysHeld,CurrentProfitPct,ATRValue,ExitType,StrategyAnnualReturn,StrategyAnnualVol,StrategySharpe,TradeReturn,TradeSharpe
0,-38,23,26,262.61452283447267,257.75,184.8518677099613,0.01852343420298508,2020-02-05,2020-02-10,5 days,3,1,184.8518677099613,184.8518677099613,0.0,Time Exit,256.8,298.73428126743863,2.0,3.300929559725467,10.411427089146205,Time Exit,0.011237010192871093,0.03555131993660153,0.31607856509716065,0.0026257897949218748,2.7029707186760987
1,-37,28,31,268.85241633300785,273.0,-153.46059567870947,-0.01542699047887619,2020-02-12,2020-02-18,6 days,3,2,31.391272031251845,184.8518677099613,153.46059567870947,Time Exit,262.6655859375,302.3928473336356,2.0,-0.48975802317555933,9.594287327357701,Time Exit,0.011237010192871093,0.03555131993660153,0.31607856509716065,0.006807997741699219,15.007559153198757
2,-43,41,44,228.98112243652344,219.77000427246094,396.0780810546874,0.04022653948958588,2020-03-03,2020-03-06,3 days,3,3,427.46935308593925,427.46935308593925,0.0,Time Exit,215.57759765625,262.60428183419367,2.0,-2.7297848902109187,12.68142809186663,Time Exit,0.011237010192871093,0.03555131993660153,0.31607856509716065,-0.005994201049804688,-11.881937792510763
3,-66,54,56,151.28721349853515,149.52999877929688,115.9761714697263,0.011615090783962945,2020-03-20,2020-03-24,4 days,2,4,543.4455245556655,543.4455245556655,0.0,Profit Target,139.02720703125,205.95785903930664,1.0,4.902641723819514,20.379283905029297,Profit Target,0.011237010192871093,0.03555131993660153,0.31607856509716065,-0.0040985943603515625,-3.6729880519030025
4,-59,57,60,170.02925512695313,174.69000244140625,-274.98409155273396,-0.027411443465850338,2020-03-25,2020-03-30,5 days,3,5,268.4614330029316,543.4455245556655,274.98409155273396,Time Exit,176.33279296875,252.48284530639648,2.0,3.6149823902535148,22.934284210205078,Time Exit,0.011237010192871093,0.03555131993660153,0.31607856509716065,0.0038450007629394533,2.9285312918891027
5,-60,65,68,166.7159030456543,183.8699951171875,-1029.2455242919918,-0.1028941556153502,2020-04-06,2020-04-09,3 days,3,6,-760.7840912890603,543.4455245556655,1304.2296158447257,Time Exit,169.6704052734375,233.26214763096402,2.0,-4.339706874820694,18.840714045933314,Time Exit,0.011237010192871093,0.03555131993660153,0.31607856509716065,0.011694003295898436,5.84156844201525
6,-52,73,76,190.8008355004883,190.89999389648438,-5.156236591796414,-0.0005196958165092358,2020-04-17,2020-04-22,5 days,3,7,-765.9403278808567,543.4455245556655,1309.3858524365223,Time Exit,185.28,233.34786551339286,2.0,2.9740961104477006,13.449288504464286,Time Exit,0.011237010192871093,0.03555131993660153,0.31607856509716065,0.00919880126953125,9.092229641905714
7,-51,77,80,194.36089349853515,201.52000427246094,-365.1146494702152,-0.03683411125077862,2020-04-23,2020-04-28,5 days,3,8,-1131.054977351072,543.4455245556655,1674.5005019067376,Time Exit,181.02720703125,227.32359640938895,2.0,-4.295482065077191,12.917863028390068,Time Exit,0.011237010192871093,0.03555131993660153,0.31607856509716065,-0.0012554043579101563,-0.5876522929980844
8,-47,81,84,205.99718365478515,199.39999389648438,310.06791864013627,0.03202563084239296,2020-04-29,2020-05-04,5 days,3,9,-820.9870587109358,543.4455245556655,1364.4325832666013,Profit Target,211.7568017578125,255.6393040248326,2.0,7.8520297309111395,11.686434064592634,Profit Target,0.011237010192871093,0.03555131993660153,0.31607856509716065,-0.004132997894287109,-4.108802912756547
9,-46,85,88,214.38037756347657,217.2899932861328,-133.8423232421871,-0.013572211019148517,2020-05-05,2020-05-08,3 days,3,10,-954.829381953123,543.4455245556655,1498.2749065087885,Time Exit,200.2656005859375,245.09001813616072,2.0,-2.344086752955883,12.160005841936384,Time Exit,0.011237010192871093,0.03555131993660153,0.31607856509716065,-0.003391599426269531,-3.447963695183105
10,-46,94,97,213.90492899902344,235.0,-970.3732660449218,-0.09861891027799952,2020-05-18,2020-05-21,3 days,3,11,-1925.2026479980448,543.4455245556655,2468.6481725537105,Time Exit,220.2431982421875,269.6971457345145,2.0,-2.876822489840388,13.425715855189733,Time Exit,0.011237010192871093,0.03555131993660153,0.31607856509716065,-0.008362803649902344,-7.358950570345617
11,-40,98,101,244.96988283447268,253.0800018310547,-324.4047598632801,-0.03310659621804213,2020-05-22,2020-05-28,6 days,3,12,-2249.6074078613246,543.4455245556655,2793.05293241699,Time Exit,233.9904052734375,278.64500536237443,2.0,-3.1467949438281377,11.63499995640346,Time Exit,0.011237010192871093,0.03555131993660153,0.31607856509716065,0.00026340606689453146,0.27012780741084425
12,-38,104,107,254.93390533203126,267.8500061035156,-490.8118293164059,-0.05066450755015173,2020-06-02,2020-06-05,3 days,3,13,-2740.419237177731,543.4455245556655,3283.8647617333963,Time Exit,253.238408203125,298.1271460396903,2.0,1.4102130862434203,11.445712498256139,Time Exit,0.011237010192871093,0.03555131993660153,0.31607856509716065,0.0031198025512695323,5.620880125892479
