,Metric,Value
0,Daily Returns Mean,4.4591310289171006e-05
1,Annual Return,0.011237010192871093
2,Annual Volatility,0.03555131993660153
3,Sharpe Ratio,0.31607856509716065
4,Avg Position Size,-14.719227674979887
5,Avg Daily PnL,4.459131028917101
6,Total PnL,5538.240737915039
